X,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Gustan
0,0.0695,https://api.spotify.com/v1/audio-analysis/3LSBiUT3w9pPLxOoWY5AAS,0.698,222163,0.887,3LSBiUT3w9pPLxOoWY5AAS,0.342,7,0.32,-6.108,1,0.0267,106.032,4,https://api.spotify.com/v1/tracks/3LSBiUT3w9pPLxOoWY5AAS,audio_features,spotify:track:3LSBiUT3w9pPLxOoWY5AAS,0.643,0
1,0.557,https://api.spotify.com/v1/audio-analysis/6SRXMa9pWbdHdC0nawYN0z,0.545,232813,0.559,6SRXMa9pWbdHdC0nawYN0z,0,4,0.139,-6.289,0,0.0266,87.178,4,https://api.spotify.com/v1/tracks/6SRXMa9pWbdHdC0nawYN0z,audio_features,spotify:track:6SRXMa9pWbdHdC0nawYN0z,0.675,0
2,0.121,https://api.spotify.com/v1/audio-analysis/49ZqmciF8DzR9Dgs2vI5Di,0.884,123538,0.95,49ZqmciF8DzR9Dgs2vI5Di,1.43E-06,4,0.315,-4.63,0,0.147,106.031,4,https://api.spotify.com/v1/tracks/49ZqmciF8DzR9Dgs2vI5Di,audio_features,spotify:track:49ZqmciF8DzR9Dgs2vI5Di,0.953,0
3,0.172,https://api.spotify.com/v1/audio-analysis/650ucbNGGPC8CZvA0Y0D2A,0.676,230267,0.48,650ucbNGGPC8CZvA0Y0D2A,0,0,0.366,-8.318,1,0.0299,123.811,4,https://api.spotify.com/v1/tracks/650ucbNGGPC8CZvA0Y0D2A,audio_features,spotify:track:650ucbNGGPC8CZvA0Y0D2A,0.328,1
4,0.27,https://api.spotify.com/v1/audio-analysis/10BpvV0IRrd7D0gtHrBTN2,0.544,174880,0.758,10BpvV0IRrd7D0gtHrBTN2,0.00175,1,0.12,-5.897,0,0.0422,140.924,4,https://api.spotify.com/v1/tracks/10BpvV0IRrd7D0gtHrBTN2,audio_features,spotify:track:10BpvV0IRrd7D0gtHrBTN2,0.559,0
5,0.000992,https://api.spotify.com/v1/audio-analysis/7ySX90mE4XgwblM79xZcWo,0.569,225837,0.831,7ySX90mE4XgwblM79xZcWo,0.0269,3,0.134,-7.306,1,0.043,122.004,4,https://api.spotify.com/v1/tracks/7ySX90mE4XgwblM79xZcWo,audio_features,spotify:track:7ySX90mE4XgwblM79xZcWo,0.525,1
6,0.313,https://api.spotify.com/v1/audio-analysis/6jhS0aLVJGfnn2zP3Hl8PN,0.759,132947,0.856,6jhS0aLVJGfnn2zP3Hl8PN,1.68E-05,10,0.0893,-6.997,0,0.0394,92.142,4,https://api.spotify.com/v1/tracks/6jhS0aLVJGfnn2zP3Hl8PN,audio_features,spotify:track:6jhS0aLVJGfnn2zP3Hl8PN,0.835,1
7,0.266,https://api.spotify.com/v1/audio-analysis/3LSRGvBWTdnUBJC32oBFnZ,0.748,227800,0.718,3LSRGvBWTdnUBJC32oBFnZ,0,4,0.241,-8.131,1,0.0612,100.001,4,https://api.spotify.com/v1/tracks/3LSRGvBWTdnUBJC32oBFnZ,audio_features,spotify:track:3LSRGvBWTdnUBJC32oBFnZ,0.627,1
8,0.17,https://api.spotify.com/v1/audio-analysis/7zhwoeZsyGjht4Ass1X4ig,0.548,230227,0.944,7zhwoeZsyGjht4Ass1X4ig,0,9,0.933,-5.777,1,0.0644,129.019,4,https://api.spotify.com/v1/tracks/7zhwoeZsyGjht4Ass1X4ig,audio_features,spotify:track:7zhwoeZsyGjht4Ass1X4ig,0.585,1
9,0.591,https://api.spotify.com/v1/audio-analysis/6VTydycDGd62OoZGZ0morB,0.701,219867,0.706,6VTydycDGd62OoZGZ0morB,0.00754,5,0.141,-5.791,1,0.028,127.044,4,https://api.spotify.com/v1/tracks/6VTydycDGd62OoZGZ0morB,audio_features,spotify:track:6VTydycDGd62OoZGZ0morB,0.838,0
10,0.142,https://api.spotify.com/v1/audio-analysis/28ht5XJEc2U2kwRy7r5MQA,0.542,266733,0.429,28ht5XJEc2U2kwRy7r5MQA,1.22E-06,4,0.135,-9.729,1,0.0239,162.093,3,https://api.spotify.com/v1/tracks/28ht5XJEc2U2kwRy7r5MQA,audio_features,spotify:track:28ht5XJEc2U2kwRy7r5MQA,0.288,0
