ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,time_signature,added_at,is_local,primary_color,added_by.id,track.disc_number,track.duration_ms,track.episode,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track,track.track_number,track.type,track.uri,track.album.album_type,track.album.href,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.album.uri,track.album.external_urls.spotify,track.external_ids.isrc,track.external_urls.spotify,video_thumbnail.url,key_name,mode_name,key_mode
1,0.285,0.49,7,-8.31,1,0.0532,0.838,0,0.918,0.447,82.956,38TLVJbBZSdfuwTUV1TeI8,4,2018-03-15T14:57:15Z,FALSE,NA,kesarleon,1,213106,FALSE,FALSE,https://api.spotify.com/v1/tracks/38TLVJbBZSdfuwTUV1TeI8,FALSE,Mi Caramelo - Live In Buenos Aires / 2001,37,NA,TRUE,12,track,spotify:track:38TLVJbBZSdfuwTUV1TeI8,album,https://api.spotify.com/v1/albums/4ZlAsfhFEVJo1hJx4Y7KVo,4ZlAsfhFEVJo1hJx4Y7KVo,Bersuit,01/01/2006,day,15,album,spotify:album:4ZlAsfhFEVJo1hJx4Y7KVo,https://open.spotify.com/album/4ZlAsfhFEVJo1hJx4Y7KVo,ARF140200011,https://open.spotify.com/track/38TLVJbBZSdfuwTUV1TeI8,NA,G,major,G major
2,0.716,0.75,11,-6.227,0,0.0453,0.462,1.07E-05,0.0891,0.735,102.021,4ZWU1hk7lfPssexg8lUpgK,4,2018-03-15T15:01:05Z,FALSE,NA,kesarleon,1,266066,FALSE,FALSE,https://api.spotify.com/v1/tracks/4ZWU1hk7lfPssexg8lUpgK,FALSE,Oyeme Nena,0,NA,TRUE,14,track,spotify:track:4ZWU1hk7lfPssexg8lUpgK,album,https://api.spotify.com/v1/albums/1nHkIX9Rw6fAt8S6tDtV02,1nHkIX9Rw6fAt8S6tDtV02,Comercial,15/09/2009,day,16,album,spotify:album:1nHkIX9Rw6fAt8S6tDtV02,https://open.spotify.com/album/1nHkIX9Rw6fAt8S6tDtV02,MX2260900067,https://open.spotify.com/track/4ZWU1hk7lfPssexg8lUpgK,NA,B,minor,B minor
3,0.799,0.64,11,-8.985,0,0.0662,0.00167,0.0461,0.0707,0.936,126.006,7ruy59ZiI1EXMDIGstSykK,4,2018-03-15T15:03:48Z,FALSE,NA,kesarleon,1,276271,FALSE,FALSE,https://api.spotify.com/v1/tracks/7ruy59ZiI1EXMDIGstSykK,FALSE,Yo No Se,0,NA,TRUE,8,track,spotify:track:7ruy59ZiI1EXMDIGstSykK,album,https://api.spotify.com/v1/albums/5GQZOFt7lKLlUvKKiZQ50H,5GQZOFt7lKLlUvKKiZQ50H,Super Pop Venezuela,05/09/2006,day,18,album,spotify:album:5GQZOFt7lKLlUvKKiZQ50H,https://open.spotify.com/album/5GQZOFt7lKLlUvKKiZQ50H,TCACO1641990,https://open.spotify.com/track/7ruy59ZiI1EXMDIGstSykK,NA,B,minor,B minor
4,0.834,0.553,7,-6.724,0,0.0457,0.695,7.20E-05,0.126,0.827,137.011,5aNaiwqg0H4w6eG1ribBhS,4,2018-03-15T15:07:49Z,FALSE,NA,kesarleon,1,253120,FALSE,FALSE,https://api.spotify.com/v1/tracks/5aNaiwqg0H4w6eG1ribBhS,FALSE,Acaríciame,26,https://p.scdn.co/mp3-preview/30e9350d387b00999f89142d03495f87ede5a31c?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,3,track,spotify:track:5aNaiwqg0H4w6eG1ribBhS,album,https://api.spotify.com/v1/albums/4slxl2AtIrPX8nIYbmPsrb,4slxl2AtIrPX8nIYbmPsrb,Cada vez,05/07/2014,day,16,album,spotify:album:4slxl2AtIrPX8nIYbmPsrb,https://open.spotify.com/album/4slxl2AtIrPX8nIYbmPsrb,USDHM1414296,https://open.spotify.com/track/5aNaiwqg0H4w6eG1ribBhS,NA,G,minor,G minor
5,0.843,0.163,0,-11.835,0,0.0373,0.886,0.00207,0.0966,0.793,114.998,0A6uOgqAzVU38ZGPqXDROV,4,2018-03-15T15:10:50Z,FALSE,NA,kesarleon,1,262866,FALSE,FALSE,https://api.spotify.com/v1/tracks/0A6uOgqAzVU38ZGPqXDROV,FALSE,Beautiful Girl,26,https://p.scdn.co/mp3-preview/ebb7ef47a80f6f27119f44f2fe03d141cb83653b?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,5,track,spotify:track:0A6uOgqAzVU38ZGPqXDROV,album,https://api.spotify.com/v1/albums/4slxl2AtIrPX8nIYbmPsrb,4slxl2AtIrPX8nIYbmPsrb,Cada vez,05/07/2014,day,16,album,spotify:album:4slxl2AtIrPX8nIYbmPsrb,https://open.spotify.com/album/4slxl2AtIrPX8nIYbmPsrb,USDHM1414298,https://open.spotify.com/track/0A6uOgqAzVU38ZGPqXDROV,NA,C,minor,C minor
6,0.737,0.613,9,-6.415,0,0.0371,0.791,7.81E-06,0.049,0.919,94.996,3rTbvxv2bLNOoFMZeNZaE5,3,2018-03-15T15:15:15Z,FALSE,NA,kesarleon,1,217680,FALSE,FALSE,https://api.spotify.com/v1/tracks/3rTbvxv2bLNOoFMZeNZaE5,FALSE,El Amor,27,https://p.scdn.co/mp3-preview/0f3b00ec6f8ea660b7516eb32589d45ca4495566?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,5,track,spotify:track:3rTbvxv2bLNOoFMZeNZaE5,album,https://api.spotify.com/v1/albums/0Gl73ICTO0K3h8f1E9cdZy,0Gl73ICTO0K3h8f1E9cdZy,"No Corro, No Grito, No Empujo",15/11/2012,day,13,album,spotify:album:0Gl73ICTO0K3h8f1E9cdZy,https://open.spotify.com/album/0Gl73ICTO0K3h8f1E9cdZy,USDHM1305566,https://open.spotify.com/track/3rTbvxv2bLNOoFMZeNZaE5,NA,A,minor,A minor
7,0.556,0.463,4,-9.269,0,0.0397,0.829,0.0827,0.133,0.131,107.369,0sZG075SY5iEnfMhYotmBs,4,2018-03-15T15:26:18Z,FALSE,NA,kesarleon,1,385133,FALSE,FALSE,https://api.spotify.com/v1/tracks/0sZG075SY5iEnfMhYotmBs,FALSE,St James Infirmary,31,https://p.scdn.co/mp3-preview/19555ad0a233ba5e76462048edacda1aa9fbb6fd?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,1,track,spotify:track:0sZG075SY5iEnfMhYotmBs,album,https://api.spotify.com/v1/albums/1rbiEdED7liKBMxsm6s7HT,1rbiEdED7liKBMxsm6s7HT,Let Them Talk (Bonus Track Version),09/05/2011,day,16,album,spotify:album:1rbiEdED7liKBMxsm6s7HT,https://open.spotify.com/album/1rbiEdED7liKBMxsm6s7HT,GBAHT1100010,https://open.spotify.com/track/0sZG075SY5iEnfMhYotmBs,NA,E,minor,E minor
8,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,5CMjjywI0eZMixPeqNd75R,4,2018-03-15T15:27:02Z,FALSE,NA,kesarleon,1,353893,FALSE,FALSE,https://api.spotify.com/v1/tracks/5CMjjywI0eZMixPeqNd75R,FALSE,Lose Yourself to Dance (feat. Pharrell Williams),70,https://p.scdn.co/mp3-preview/24e8d6ba5f91d46782dc44ca9eb44db18b1fc897?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,6,track,spotify:track:5CMjjywI0eZMixPeqNd75R,album,https://api.spotify.com/v1/albums/4m2880jivSbbyEGAKfITCa,4m2880jivSbbyEGAKfITCa,Random Access Memories,17/05/2013,day,13,album,spotify:album:4m2880jivSbbyEGAKfITCa,https://open.spotify.com/album/4m2880jivSbbyEGAKfITCa,USQX91300106,https://open.spotify.com/track/5CMjjywI0eZMixPeqNd75R,NA,A#,minor,A# minor
9,0.537,0.409,5,-7.922,0,0.0599,0.769,0,0.101,0.493,95.057,0zKc1viesv41Gj6ztAtF40,4,2018-03-15T15:34:45Z,FALSE,NA,kesarleon,1,207240,FALSE,FALSE,https://api.spotify.com/v1/tracks/0zKc1viesv41Gj6ztAtF40,FALSE,Kiss of Fire,42,https://p.scdn.co/mp3-preview/da3f3481de9600ccfaa3e011e192354f941ed6ee?cid=8dabc4c0795a4b0ea6544e0f21967c2a,TRUE,3,track,spotify:track:0zKc1viesv41Gj6ztAtF40,album,https://api.spotify.com/v1/albums/2nu30dx4AwX9LBFytWz1YN,2nu30dx4AwX9LBFytWz1YN,Didn't It Rain,29/04/2013,day,15,album,spotify:album:2nu30dx4AwX9LBFytWz1YN,https://open.spotify.com/album/2nu30dx4AwX9LBFytWz1YN,GBAHT1300130,https://open.spotify.com/track/0zKc1viesv41Gj6ztAtF40,NA,F,minor,F minor
10,0.775,0.867,5,-1.582,0,0.0414,0.0132,0.00684,0.278,0.869,96.038,0atfY1ew83Ql9nNnJiD2t5,4,2018-03-15T15:35:13Z,FALSE,NA,kesarleon,1,265746,FALSE,FALSE,https://api.spotify.com/v1/tracks/0atfY1ew83Ql9nNnJiD2t5,FALSE,Bonita,71,NA,TRUE,1,track,spotify:track:0atfY1ew83Ql9nNnJiD2t5,single,https://api.spotify.com/v1/albums/5VVKOOGmPdCa8Iie0Jzydb,5VVKOOGmPdCa8Iie0Jzydb,Bonita,02/06/2017,day,1,album,spotify:album:5VVKOOGmPdCa8Iie0Jzydb,https://open.spotify.com/album/5VVKOOGmPdCa8Iie0Jzydb,USLZJ1770735,https://open.spotify.com/track/0atfY1ew83Ql9nNnJiD2t5,NA,F,minor,F minor
